config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_weight,idm_weight,dc_weight,expected_return,portfolio_risk
14,400,800,down_65%,-65.0,0.9999999999999984,1.4710455076283324e-15,2.498001805406602e-16,33826.0719125683,24369.178162928485
14,400,800,down_60%,-60.0,1.0,0.0,0.0,33826.0719125683,24369.17816292848
14,400,800,down_55%,-55.0,0.9999999999999994,7.216449660063518e-16,2.7755575615628914e-17,33826.0719125683,24369.178162928485
14,400,800,down_50%,-50.0,1.0,0.0,0.0,33826.0719125683,24369.17816292848
14,400,800,down_45%,-45.0,0.9999999999999999,1.6653345369377348e-16,2.7755575615628914e-17,33826.0719125683,24369.17816292848
14,400,800,down_40%,-40.0,0.9999999999999997,3.3306690738754696e-16,1.3877787807814457e-17,33826.0719125683,24369.17816292848
14,400,800,down_35%,-35.0,1.0,0.0,0.0,33826.0719125683,24369.17816292848
14,400,800,down_30%,-30.0,0.9948770737446035,0.005122926217227821,0.0,33833.99682581303,24388.928953302482
14,400,800,down_25%,-25.0,0.9835421266326452,0.016457873244734213,0.0,33851.53142778693,24435.43354551545
14,400,800,down_20%,-20.0,0.9683265049400301,0.03167349482398417,0.0,33875.06924129802,24503.020816828994
14,400,800,down_15%,-15.0,0.9468636699761791,0.05313633002382083,7.632783294297951e-17,33908.27118588309,24606.208685306254
14,400,800,down_10%,-10.0,0.9144443992435337,0.08555560075646629,5.204170427930421e-17,33958.422193572624,24774.397953309566
14,400,800,down_5%,-5.0,0.8603546806854507,0.13964531931454932,0.0,34042.096311775415,25075.08972595852
14,400,800,up_5%,5.0,0.19635238010072212,0.5955970862982789,0.20805053360099895,34681.745817849514,27257.728707678056
14,400,800,up_10%,10.0,0.0,0.5660260919195023,0.4339739080804979,35257.19656235168,27308.642640275502
14,400,800,up_15%,15.0,3.219485257410524e-16,0.4494690580400117,0.550530941959988,36104.61019986812,27438.427760325267
14,400,800,up_20%,20.0,9.182697906345892e-18,0.41537107555675984,0.5846289244432401,37082.85723985876,27573.46456675997
14,400,800,up_25%,25.0,4.506943796211478e-18,0.4017271411127436,0.5982728588872563,38077.409113690825,27638.310477825882
14,400,800,up_30%,30.0,1.0411569581580928e-17,0.39466261329860136,0.6053373867013986,39075.3239250682,27674.171233007037
15,5,15,base_case,0.0,1.0,1.1102230246251565e-16,2.7755575615628914e-17,594.1501912568306,440.7503568603956
15,5,15,down_80%,-80.0,1.0,1.1102230246251565e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,down_75%,-75.0,1.0,0.0,0.0,594.1501912568306,440.7503568603956
15,5,15,down_70%,-70.0,1.0,0.0,2.7755575615628914e-17,594.1501912568306,440.7503568603956
15,5,15,down_65%,-65.0,0.9999999999999999,1.6653345369377348e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,down_60%,-60.0,0.9999999999999999,2.220446049250313e-16,1.3877787807814457e-17,594.1501912568306,440.7503568603956
15,5,15,down_55%,-55.0,1.0,0.0,0.0,594.1501912568306,440.7503568603956
15,5,15,down_50%,-50.0,1.0,5.551115123125783e-17,5.551115123125783e-17,594.1501912568306,440.7503568603956
15,5,15,down_45%,-45.0,1.0,1.1102230246251565e-16,1.3877787807814457e-17,594.1501912568306,440.7503568603956
15,5,15,down_40%,-40.0,1.0,5.551115123125783e-17,1.3877787807814457e-17,594.1501912568306,440.7503568603956
15,5,15,down_35%,-35.0,0.9999999999999999,1.6653345369377348e-16,2.7755575615628914e-17,594.1501912568306,440.7503568603956
15,5,15,down_30%,-30.0,1.0,5.551115123125783e-17,0.0,594.1501912568306,440.7503568603956
15,5,15,down_25%,-25.0,1.0,1.6653345369377348e-16,1.3877787807814457e-17,594.1501912568306,440.7503568603956
15,5,15,down_20%,-20.0,0.9999999999999998,1.6653345369377348e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,down_15%,-15.0,0.9999999999999999,1.6653345369377348e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,down_10%,-10.0,1.0,5.551115123125783e-17,0.0,594.1501912568306,440.7503568603956
15,5,15,down_5%,-5.0,1.0,0.0,1.3877787807814457e-17,594.1501912568306,440.7503568603956
15,5,15,up_5%,5.0,0.9999999999999999,1.1102230246251565e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,up_10%,10.0,1.0,1.1102230246251565e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,up_15%,15.0,1.0,1.2836953722228372e-16,7.806255641895632e-18,594.1501912568306,440.7503568603956
15,5,15,up_20%,20.0,0.9952995421451402,0.0047004578548598686,7.202332679333103e-18,594.2521893942917,440.9460255847235
15,5,15,up_25%,25.0,0.9577760210700993,0.04222397892990079,0.0,595.0664354483606,442.63968790043566
15,5,15,up_30%,30.0,0.903576513716039,0.09642348628396114,0.0,596.2425440258918,445.466316119698
16,10,30,base_case,0.0,1.0,1.1102230246251565e-16,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_80%,-80.0,1.0,0.0,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_75%,-75.0,0.9999999999999999,1.1102230246251565e-16,1.3877787807814457e-17,1188.3009289617482,881.5005042668417
16,10,30,down_70%,-70.0,0.9999999999999998,2.220446049250313e-16,1.3877787807814457e-17,1188.3009289617482,881.5005042668417
16,10,30,down_65%,-65.0,1.0,0.0,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_60%,-60.0,1.0,1.6653345369377348e-16,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_55%,-55.0,1.0,0.0,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_50%,-50.0,1.0,0.0,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_45%,-45.0,1.0,0.0,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_40%,-40.0,0.9999999999999998,1.6653345369377348e-16,2.7755575615628914e-17,1188.3009289617482,881.5005042668417
16,10,30,down_35%,-35.0,1.0,1.1102230246251565e-16,1.3877787807814457e-17,1188.3009289617482,881.5005042668417
