config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_days
8,10,20,down_30%,-30.0,845.6515,884.3255,558.497,609.2296,759.1855,403.1713,0.67,0.721,0.4654,366
8,10,20,down_25%,-25.0,845.6515,884.3255,598.3962,609.2296,759.1855,403.1627,0.67,0.721,0.4654,366
8,10,20,down_20%,-20.0,845.6515,884.3255,638.2986,609.2296,759.1855,403.1531,0.67,0.721,0.4654,366
8,10,20,down_15%,-15.0,845.6515,884.3255,678.2005,609.2296,759.1855,403.1529,0.67,0.721,0.4654,366
8,10,20,down_10%,-10.0,845.6515,884.3255,718.0617,609.2296,759.1855,403.1465,0.67,0.721,0.4654,366
8,10,20,down_5%,-5.0,845.6515,884.3255,757.9669,609.2296,759.1855,403.1416,0.67,0.721,0.4654,366
8,10,20,up_5%,5.0,845.6515,884.3255,837.7664,609.2296,759.1855,403.1263,0.67,0.7211,0.4654,366
8,10,20,up_10%,10.0,845.6515,884.3255,877.6686,609.2296,759.1855,403.1185,0.67,0.7211,0.4654,366
8,10,20,up_15%,15.0,845.6515,884.3255,917.5333,609.2296,759.1855,403.1105,0.67,0.7211,0.4654,366
8,10,20,up_20%,20.0,845.6515,884.3255,957.4355,609.2296,759.1855,403.1125,0.67,0.7211,0.4654,366
8,10,20,up_25%,25.0,845.6515,884.3255,997.3404,609.2296,759.1855,403.1094,0.67,0.7211,0.4654,366
8,10,20,up_30%,30.0,845.6515,884.3255,1037.2407,609.2296,759.1855,403.1028,0.67,0.7211,0.4654,366
9,30,60,base_case,0.0,2536.9552,2652.9767,2393.5984,1827.6883,2277.5562,1209.3963,0.67,0.721,0.4654,366
9,30,60,down_80%,-80.0,2536.9552,2652.9767,478.7109,1827.6883,2277.5562,1209.7773,0.67,0.7209,0.4654,366
9,30,60,down_75%,-75.0,2536.9552,2652.9767,598.3951,1827.6883,2277.5562,1209.7415,0.67,0.7209,0.4654,366
9,30,60,down_70%,-70.0,2536.9552,2652.9767,718.0844,1827.6883,2277.5562,1209.7147,0.67,0.7209,0.4654,366
9,30,60,down_65%,-65.0,2536.9552,2652.9767,837.7686,1827.6883,2277.5562,1209.6805,0.67,0.7209,0.4654,366
9,30,60,down_60%,-60.0,2536.9552,2652.9767,957.438,1827.6883,2277.5562,1209.6512,0.67,0.7209,0.4654,366
9,30,60,down_55%,-55.0,2536.9552,2652.9767,1077.1219,1827.6883,2277.5562,1209.6249,0.67,0.7209,0.4654,366
9,30,60,down_50%,-50.0,2536.9552,2652.9767,1196.8082,1827.6883,2277.5562,1209.5987,0.67,0.721,0.4654,366
9,30,60,down_45%,-45.0,2536.9552,2652.9767,1316.4686,1827.6883,2277.5562,1209.5812,0.67,0.721,0.4654,366
9,30,60,down_40%,-40.0,2536.9552,2652.9767,1436.1579,1827.6883,2277.5562,1209.5555,0.67,0.721,0.4654,366
9,30,60,down_35%,-35.0,2536.9552,2652.9767,1555.8383,1827.6883,2277.5562,1209.5358,0.67,0.721,0.4654,366
9,30,60,down_30%,-30.0,2536.9552,2652.9767,1675.5276,1827.6883,2277.5562,1209.5119,0.67,0.721,0.4654,366
9,30,60,down_25%,-25.0,2536.9552,2652.9767,1795.1937,1827.6883,2277.5562,1209.4922,0.67,0.721,0.4654,366
9,30,60,down_20%,-20.0,2536.9552,2652.9767,1914.8842,1827.6883,2277.5562,1209.466,0.67,0.721,0.4654,366
9,30,60,down_15%,-15.0,2536.9552,2652.9767,2034.5675,1827.6883,2277.5562,1209.4513,0.67,0.721,0.4654,366
9,30,60,down_10%,-10.0,2536.9552,2652.9767,2154.2311,1827.6883,2277.5562,1209.4267,0.67,0.721,0.4654,366
9,30,60,down_5%,-5.0,2536.9552,2652.9767,2273.9377,1827.6883,2277.5562,1209.415,0.67,0.721,0.4654,366
9,30,60,up_5%,5.0,2536.9552,2652.9767,2513.2637,1827.6883,2277.5562,1209.3813,0.67,0.7211,0.4654,366
9,30,60,up_10%,10.0,2536.9552,2652.9767,2632.968,1827.6883,2277.5562,1209.3672,0.67,0.7211,0.4654,366
9,30,60,up_15%,15.0,2536.9552,2652.9767,2752.6372,1827.6883,2277.5562,1209.3493,0.67,0.7211,0.4654,366
