config_id,power_mw,energy_mwh,scenario,dc_price_scale_factor,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_trading_days
9,30,60,down_80%,0.2,2536.9552,2652.9767,478.7186,1827.6883,2277.5562,241.8784,0.67,0.7211,0.4654,366
9,30,60,down_30%,0.7,2536.9552,2652.9767,1675.521,1827.6883,2277.5562,846.5794,0.67,0.7211,0.4654,366
9,30,60,down_25%,0.75,2536.9552,2652.9767,1795.2005,1827.6883,2277.5562,907.0484,0.67,0.721,0.4654,366
9,30,60,down_20%,0.8,2536.9552,2652.9767,1914.8814,1827.6883,2277.5562,967.5171,0.67,0.7211,0.4654,366
9,30,60,down_15%,0.85,2536.9552,2652.9767,2034.5623,1827.6883,2277.5562,1027.9889,0.67,0.721,0.4654,366
9,30,60,down_10%,0.9,2536.9552,2652.9767,2154.2372,1827.6883,2277.5562,1088.4557,0.67,0.721,0.4654,366
9,30,60,down_5%,0.95,2536.9552,2652.9767,2273.9224,1827.6883,2277.5562,1148.9277,0.67,0.7211,0.4654,366
9,30,60,up_5%,1.05,2536.9552,2652.9767,2513.2825,1827.6883,2277.5562,1269.8674,0.67,0.721,0.4654,366
9,30,60,up_10%,1.1,2536.9552,2652.9767,2632.9604,1827.6883,2277.5562,1330.3359,0.67,0.721,0.4654,366
9,30,60,up_15%,1.15,2536.9552,2652.9767,2752.6413,1827.6883,2277.5562,1390.8075,0.67,0.721,0.4654,366
9,30,60,up_25%,1.25,2536.9552,2652.9767,2992.0014,1827.6883,2277.5562,1511.7457,0.67,0.721,0.4654,366
9,30,60,up_20%,1.2,2536.9552,2652.9767,2872.3199,1827.6883,2277.5562,1451.2765,0.67,0.721,0.4654,366
9,30,60,up_30%,1.3,2536.9552,2652.9767,3111.6828,1827.6883,2277.5562,1572.215,0.67,0.721,0.4654,366
