registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,6,2025-03-08T11:00:00,2025-03-08T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,1,2025-03-08T19:00:00,2025-03-08T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,2.47,2025-03-08T03:00:00,2025-03-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,1.36,2025-03-08T07:00:00,2025-03-08T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,6.5,2025-03-08T11:00:00,2025-03-08T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,3.2,2025-03-08T15:00:00,2025-03-08T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,3.79,2025-03-08T19:00:00,2025-03-08T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,4.5,2025-03-09T07:00:00,2025-03-09T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,7.2,2025-03-09T15:00:00,2025-03-09T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,5.96,2025-03-09T11:00:00,2025-03-09T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,1.78,2025-03-09T19:00:00,2025-03-09T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,2.92,2025-03-09T03:00:00,2025-03-09T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,1.02,2025-03-09T07:00:00,2025-03-09T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,4.69,2025-03-09T11:00:00,2025-03-09T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,2,2025-03-09T19:00:00,2025-03-09T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,2.84,2025-03-09T15:00:00,2025-03-09T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,2.6,2025-03-09T03:00:00,2025-03-09T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,2.31,2025-03-11T15:00:00,2025-03-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,4.33,2025-03-11T19:00:00,2025-03-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,5.69,2025-03-11T03:00:00,2025-03-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,7.69,2025-03-11T07:00:00,2025-03-11T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,4.1,2025-03-11T11:00:00,2025-03-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,7.33,2025-03-11T15:00:00,2025-03-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,2.22,2025-03-11T19:00:00,2025-03-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,4.34,2025-03-11T03:00:00,2025-03-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,2.82,2025-03-11T11:00:00,2025-03-11T15:00:00,,
