registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-0.76,2023-11-14T23:00:00,2023-11-15T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,8.21,2023-11-14T23:00:00,2023-11-15T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,23,1.15,2023-11-15T03:00:00,2023-11-15T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,8.76,2023-11-15T03:00:00,2023-11-15T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.53,2023-11-15T07:00:00,2023-11-15T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10,2023-11-15T07:00:00,2023-11-15T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.41,2023-11-15T11:00:00,2023-11-15T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,8,2023-11-15T11:00:00,2023-11-15T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.68,2023-11-15T15:00:00,2023-11-15T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,15.06,2023-11-15T15:00:00,2023-11-15T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.83,2023-11-15T19:00:00,2023-11-15T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10,2023-11-15T19:00:00,2023-11-15T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-2.94,2023-11-15T23:00:00,2023-11-16T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9,2023-11-15T23:00:00,2023-11-16T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,27,-0.97,2023-11-16T03:00:00,2023-11-16T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11.06,2023-11-16T03:00:00,2023-11-16T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.73,2023-11-16T07:00:00,2023-11-16T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12.5,2023-11-16T07:00:00,2023-11-16T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.1,2023-11-16T11:00:00,2023-11-16T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.4,2023-11-16T11:00:00,2023-11-16T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,29,0.92,2023-11-16T15:00:00,2023-11-16T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,20,2023-11-16T15:00:00,2023-11-16T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-1.59,2023-11-16T19:00:00,2023-11-16T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,15,2023-11-16T19:00:00,2023-11-16T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,38,-3.56,2023-11-16T23:00:00,2023-11-17T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,34,10.43,2023-11-16T23:00:00,2023-11-17T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,38,-3.44,2023-11-17T03:00:00,2023-11-17T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,34,10.46,2023-11-17T03:00:00,2023-11-17T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,32,13.09,2023-11-17T07:00:00,2023-11-17T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,30,-8,2023-11-17T07:00:00,2023-11-17T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,38,-6.06,2023-11-17T11:00:00,2023-11-17T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,34,12.1,2023-11-17T11:00:00,2023-11-17T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,34,21,2023-11-17T15:00:00,2023-11-17T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,30,-10.2,2023-11-17T15:00:00,2023-11-17T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,38,-5.19,2023-11-17T19:00:00,2023-11-17T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,34,13.19,2023-11-17T19:00:00,2023-11-17T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,34,12.5,2023-11-17T23:00:00,2023-11-18T03:00:00,,
